id	message
ABOUT_TOO_LONG	  about/bio text terlalu panjang
ACCESS_TOKEN_EXPIRED	 bot token has expired
ACCESS_TOKEN_INVALID	 bot access token invalid
ADDRESS_INVALID	 Spesifik geopoint address invalid.
ADMINS_TOO_MUCH	 chat has terlalu banyak administrators
ADMIN_ID_INVALID	 Spesifik admin ID invalid
ADMIN_RANK_EMOJI_NOT_ALLOWED	Emoji are Tidak diperbolehkan in custom administrator titles
ADMIN_RANK_INVALID	 custom administrator title invalid or too long
ADMIN_RIGHTS_EMPTY	 chatAdminRights constructor passed in keyboardButtonRequestPeer.peer_type.user_admin_rights has no rights set (i.e. flags is 0).
ALBUM_PHOTOS_TOO_MANY	terlalu banyak photos were included in  album
API_ID_INVALID	 api_id/api_hash combination invalid
API_ID_PUBLISHED_FLOOD	Kamu are using an API key that is limited on  server side karena it was published somewhere
ARTICLE_TITLE_EMPTY	 article title kosong
AUDIO_CONTENT_URL_EMPTY	 remote URL Spesifik in  content field kosong
AUDIO_TITLE_EMPTY	 title attribute of  audio kosong
AUTH_BYTES_INVALID	 authorization bytes are invalid
AUTH_TOKEN_ALREADY_ACCEPTED	 authorization token telah digunakan
AUTH_TOKEN_EXCEPTION	An error occurred while importing  auth token
AUTH_TOKEN_EXPIRED	  authorization token has expired dan  updated QR-code must be re-scanned
AUTH_TOKEN_INVALID	An invalid authorization token was 
AUTH_TOKEN_INVALID2	An invalid authorization token was 
AUTH_TOKEN_INVALIDX	 Spesifik auth token invalid
AUTOARCHIVE_NOT_AVAILABLE	Fitur ini belum di aktifkan untuk akun kamu karena tidak menerima terlalu banyak private pesan dari orang tidak dikenal
BALANCE_TOO_LOW	Stars balance kamu terlalu rendah
BANK_CARD_NUMBER_INVALID	 credit card number invalid
BANNED_RIGHTS_INVALID	Kamu  a set of restrictions that invalid
BASE_PORT_LOC_INVALID	 base port location invalid
BIRTHDAY_INVALID	 age should be less than 150 year old in Telegram
BOOSTS_EMPTY	Boosts empty
BOOSTS_REQUIRED	Boosts required
BOOST_NOT_MODIFIED	Kamu're already [boosting](https://core.telegram.org/api/boost)  Spesifik channel.
BOOST_PEER_INVALID	 Spesifik `boost_peer` invalid.
BOTS_TOO_MUCH	 chat has terlalu banyak bots
BOT_APP_INVALID	 Spesifik bot app invalid.
BOT_APP_SHORTNAME_INVALID	 Spesifik bot app short name invalid.
BOT_CHANNELS_NA	Bots tidak bisa edit admin privileges
BOT_COMMAND_DESCRIPTION_INVALID	 commdan description was empty, too long or had invalid characters
BOT_COMMAND_INVALID	 Spesifik commdan invalid
BOT_DOMAIN_INVALID	 domain digunakan untuk  auth button does not match  one configured in @BotFar
BOT_GAMES_DISABLED	Bot games tidak bisa digunakan in this type of chat
BOT_GROUPS_BLOCKED	This bot tidak bisa be added to groups
BOT_INLINE_DISABLED	 inline feature of  bot is disabled
BOT_INVALID	This is bukan valid bot
BOT_METHOD_INVALID	 method tidak bisa be digunakan oleh bots
BOT_MISSING	Method ini hanya bisa run by a bot
BOT_ONESIDE_NOT_AVAIL	Bots tidak bisa pin pesan for one side only in private chats
BOT_PAYMENTS_DISABLED	Method ini hanya bisa run by a bot
BOT_POLLS_DISABLED	Sending polls by bots telah disabled
BOT_RESPONSE_TIMEOUT	 bot did bukannswer to  callback query in time
BOT_SCORE_NOT_MODIFIED	 bot score tidak dimodifikasi
BOT_WEBVIEW_DISABLED	A webview tidak bisa be opened in  Spesifik conditions: emitted for example if `from_bot_menu` or `url` are set dan `peer` is not  chat with  bot.
BROADCAST_CALLS_DISABLED	Broadcast calls disabled
BROADCAST_ID_INVALID	 channel invalid
BROADCAST_PUBLIC_VOTERS_FORBIDDEN	Polls with public voters tidak bisa dikirim ke channels
BROADCAST_REQUIRED	 request hanya bisa used dengan channel
BUTTON_DATA_INVALID	 button callback data invalid or too large
BUTTON_ID_INVALID	 button_id parameter invalid
BUTTON_TEXT_INVALID	 Spesifik button text invalid
BUTTON_TYPE_INVALID	 type of one of  buttons Kamu  invalid
BUTTON_URL_INVALID	 button url invalid
BUTTON_USER_INVALID	 user_id passed to inputKeyboardButtonUserProfile invalid
BUTTON_USER_PRIVACY_RESTRICTED	 privacy settings of  user Spesifik in a keyboard button do bukanllow creating such button
CALL_ALREADY_ACCEPTED	 call is already accepted
CALL_ALREADY_DECLINED	 call is already declined
CALL_OCCUPY_FAILED	 call failed karena  Pengguna already making anor call.
CALL_PEER_INVALID	  call peer object invalid
CALL_PROTOCOL_FLAGS_INVALID	Call protocol flags invalid
CDN_METHOD_INVALID	 method tidak bisa digunakan on CDN DCs
CHANNELS_ADMIN_LOCATED_TOO_MUCH	 user has reached  limit of public geogroups
CHANNELS_ADMIN_PUBLIC_TOO_MUCH	Kamu are an administrator of terlalu banyak public channels
CHANNELS_TOO_MUCH	Kamu have bergabung terlalu banyak channels atau supergroups, leave some dan coba lagi
CHANNEL_ADD_INVALID	Internal error.
CHANNEL_BANNED	 channel terbanned
CHANNEL_FORUM_MISSING	 channel forum tidak ada
CHANNEL_ID_INVALID	 Spesifik supergroup ID invalid.
CHANNEL_INVALID	 channel parameter invalid
CHANNEL_PARICIPANT_MISSING	 saat ini Pengguna not in  channel
CHANNEL_PRIVATE	 channel/supergroup tidak dapat di akses
CHANNEL_TOO_BIG	 channel too big
CHANNEL_TOO_LARGE	 channel is too large
CHARGE_ALREADY_REFUNDED	 charge id telah digunakan for a refund.
CHARGE_NOT_FOUND	 charge id was tidak ditemukan.
CHATLISTS_TOO_MUCH	Kamu mempunyai banyak chatlists di akun kamu
CHATLIST_EXCLUDE_INVALID	 Spesifik `exclude_peers` are invalid.
CHAT_ABOUT_NOT_MODIFIED	 About Chat text tidak dimodifikasi karena Kamu mencoba edit it using  konten yang sama
CHAT_ABOUT_TOO_LONG	 About Chat text terlalu panjang
CHAT_ADMIN_REQUIRED	 Memerlukan chat admin privileges
CHAT_DISCUSSION_UNALLOWED	 chat discussion is Tidak diperbolehkan
CHAT_FORWARDS_RESTRICTED	 chat restricts forwarding content
CHAT_ID_EMPTY	  chat id kosong
CHAT_ID_INVALID	 chat id yang digunakan invalid atau tidak di ketahui. Pastikan Kamu melihat chat sebelum berinteraksi dengannya
CHAT_INVALID	 chat invalid
CHAT_INVITE_PERMANENT	 undangan chat link primary
CHAT_LINK_EXISTS	 aksi gagal karena  supergroup linked ke channel
CHAT_NOT_MODIFIED	 chat settings (title, permissions, photo, etc..) were not modified karena Kamu mencoba to edit pesan using konten yang sama
CHAT_PUBLIC_REQUIRED	Kamu hanya bisa mengaktifkan join requests in public groups.
CHAT_RESTRICTED	 chat is restricted dan tidak bisa digunakan
CHAT_REVOKE_DATE_UNSUPPORTED	`min_date` dan `max_date` are bukanvailable for using with non-user peers
CHAT_SEND_INLINE_FORBIDDEN	Kamu tidak bisa use inline bots mengirim pesan in chat ini
CHAT_TITLE_EMPTY	 chat title kosong
CHAT_TOO_BIG	 chat is too big for this action
CODE_EMPTY	  code kosong
CODE_HASH_INVALID	  code hash invalid
CODE_INVALID	  code invalid (i.e. from email)
COLOR_INVALID	  color invalid
CONNECTION_API_ID_INVALID	  API id invalid
CONNECTION_APP_VERSION_EMPTY	App version kosong
CONNECTION_DEVICE_MODEL_EMPTY	 device model kosong
CONNECTION_LANG_PACK_INVALID	 Spesifik language pack is not valid
CONNECTION_LAYER_INVALID	 connection layer invalid. Missing InvokeWithLayer-InitConnection call
CONNECTION_NOT_INITED	 connection was not initialized
CONNECTION_SYSTEM_EMPTY	 connection to  system kosong
CONNECTION_SYSTEM_LANG_CODE_EMPTY	 system language code kosong
CONTACT_ADD_MISSING	Contact to add tidak ada
CONTACT_ID_INVALID	  contact id invalid
CONTACT_MISSING	 Spesifik Pengguna bukan contact.
CONTACT_NAME_EMPTY	  contact name kosong
CONTACT_REQ_MISSING	Missing contact request
CREATE_CALL_FAILED	An error occurred while creating  call
CURRENCY_TOTAL_AMOUNT_INVALID	 total amount of all prices invalid
CUSTOM_REACTIONS_TOO_MANY	terlalu banyak custom reactions were Spesifik.
DATA_INVALID	 encrypted data invalid
DATA_JSON_INVALID	  JSON data invalid
DATA_TOO_LONG	Data too long
DATE_EMPTY	 date argument kosong
DC_ID_INVALID	 dc_id parameter invalid
DH_G_A_INVALID	 g_a parameter invalid
DOCUMENT_INVALID	 document invalid
EMAIL_HASH_EXPIRED	 email hash expired dan tidak bisa digunakan to verify it
EMAIL_INVALID	 email  invalid
EMAIL_NOT_ALLOWED	This email is Tidak diperbolehkan
