id	message
ANONYMOUS_REACTIONS_DISABLED	Maaf, administrator anonim tidak dapat memberikan reaksi atau berpartisipasi dalam jajak pendapat.
BROADCAST_FORBIDDEN	Permintaan ini tidak dapat digunakan di saluran.
CHANNEL_PUBLIC_GROUP_NA	Saluran/supergrup ini tidak tersedia.
CHAT_ADMIN_INVITE_REQUIRED	Anda tidak memiliki hak untuk mengundang pengguna lain.
CHAT_ADMIN_REQUIRED	Metode ini memerlukan hak admin obrolan.
CHAT_FORBIDDEN	Anda tidak dapat menulis di obrolan ini.
CHAT_GUEST_SEND_FORBIDDEN	Anda perlu bergabung dengan grup diskusi sebelum berkomentar.
CHAT_SEND_AUDIOS_FORBIDDEN	Anda tidak dapat mengirim pesan audio di obrolan ini.
CHAT_SEND_DOCS_FORBIDDEN	Anda tidak dapat mengirim dokumen di obrolan ini.
CHAT_SEND_GAME_FORBIDDEN	Anda tidak dapat mengirim game ke obrolan ini.
CHAT_SEND_GIFS_FORBIDDEN	Anda tidak dapat mengirim animasi di obrolan ini.
CHAT_SEND_INLINE_FORBIDDEN	Anda tidak dapat menggunakan bot inline untuk mengirim pesan di obrolan ini.
CHAT_SEND_MEDIA_FORBIDDEN	Anda tidak dapat mengirim pesan media di obrolan ini.
CHAT_SEND_PHOTOS_FORBIDDEN	Anda tidak dapat mengirim foto di obrolan ini.
CHAT_SEND_PLAIN_FORBIDDEN	Anda tidak dapat mengirim pesan non-media (teks) di obrolan ini.
CHAT_SEND_POLL_FORBIDDEN	Anda tidak dapat mengirim jajak pendapat di obrolan ini.
CHAT_SEND_ROUNDVIDEOS_FORBIDDEN	Anda tidak dapat mengirim catatan video di obrolan ini.
CHAT_SEND_STICKERS_FORBIDDEN	Anda tidak dapat mengirim stiker di obrolan ini.
CHAT_SEND_VIDEOS_FORBIDDEN	Anda tidak dapat mengirim video di obrolan ini.
CHAT_SEND_VOICES_FORBIDDEN	Anda tidak dapat mengirim rekaman suara di obrolan ini.
CHAT_WRITE_FORBIDDEN	Anda tidak memiliki hak untuk mengirim pesan di obrolan ini.
EDIT_BOT_INVITE_FORBIDDEN	Link undangan obrolan bot tidak dapat diedit.
GROUPCALL_ALREADY_STARTED	Panggilan grup telah dimulai, Anda bisa langsung bergabung dengan menggunakan phone.joinGroupCall.
GROUPCALL_FORBIDDEN	Panggilan grup sudah berakhir.
INLINE_BOT_REQUIRED	Aksi ini harus dilakukan melalui callback bot inline.
LIVE_DISABLED	Cerita dinonaktifkan di sisi server.
MESSAGE_AUTHOR_REQUIRED	Anda bukan penulis pesan ini.
MESSAGE_DELETE_FORBIDDEN	Anda tidak memiliki hak untuk menghapus pesan di obrolan ini, kemungkinan besar karena Anda bukan penulisnya.
NOT_ALLOWED	Tidak diizinkan.
NOT_ELIGIBLE	Anda tidak memenuhi syarat untuk melakukan tindakan ini.
PARTICIPANT_JOIN_MISSING	Mencoba mengaktifkan presentasi, namun pengguna belum bergabung dengan Obrolan Video melalui phone.joinGroupCall.
POLL_VOTE_REQUIRED	Berikan suara dalam jajak pendapat sebelum memanggil metode ini.
PREMIUM_ACCOUNT_REQUIRED	Tindakan ini memerlukan akun premium.
PRIVACY_PREMIUM_REQUIRED	Pengguna membatasi pengiriman pesan atau tindakan ini memerlukan akun premium.
PUBLIC_CHANNEL_MISSING	Anda hanya bisa mengekspor link undangan panggilan grup untuk obrolan atau saluran publik.
RIGHT_FORBIDDEN	Anda tidak memiliki cukup hak untuk tindakan ini, atau Anda mencoba menetapkan satu atau lebih hak admin yang tidak dapat diterapkan pada jenis obrolan ini (saluran atau supergrup).
SENSITIVE_CHANGE_FORBIDDEN	Pengaturan konten sensitif Anda tidak dapat diubah saat ini.
TAKEOUT_REQUIRED	Metode ini harus dipanggil di dalam sesi takeout.
USER_BOT_INVALID	Metode ini hanya dapat dipanggil oleh bot.
USER_CHANNELS_TOO_MUCH	Salah satu pengguna yang Anda coba tambahkan sudah berada di terlalu banyak saluran/supergrup.
USER_DELETED	Anda tidak dapat mengirim pesan rahasia ini karena peserta lainnya telah menghapus akun mereka.
USER_INVALID	Pengguna yang diberikan tidak valid.
USER_IS_BLOCKED	Pengguna ini diblokir.
USER_NOT_MUTUAL_CONTACT	Pengguna yang diberikan bukan kontak bersama.
USER_PRIVACY_RESTRICTED	Pengaturan privasi pengguna mencegah Anda melakukan tindakan ini.
USER_RESTRICTED	Anda dibatasi. Anda tidak dapat melakukan tindakan ini.
VOICE_MESSAGES_FORBIDDEN	Pengaturan privasi pengguna ini melarang Anda mengirim pesan suara.
